title,source,url,sentiment,summary
"Quién es Jeannette Jara, la comunista que obtuvo un histórico triunfo en las primarias de la izquierda en Chile y buscará ser la sucesora de Gabriel Boric",BBC News,https://www.bbc.com/mundo/articles/cqjqqrxlek0o,neutro,"Fuente de la imagen, Getty Images Información del artículo Con la voz entrecortada por la emoción, Jeannette Jara (51), la hasta ayer candidata del Partido Comunista y el Partido Humanista a la Pre… [+8904 chars]"
"Zelenski está ""políticamente muerto"", dice el representante ruso ante la ONU",RT,https://actualidad.rt.com/actualidad/556026-zelenski-estar-politicamente-muerto-decir-nebenzia,neutro,"El líder del régimen de Kiev, Vladímir Zelenski, está ""políticamente muerto"" y trata de evitar las elecciones presidenciales en Ucrania ""a toda costa"", declaró el representante permanente de Rusia an… [+1647 chars]"
Arce llama a la izquierda boliviana a crear un bloque unitario para las elecciones presidenciales,RT,https://actualidad.rt.com/actualidad/558106-arce-izquierda-boliviana-bloque-unitario-elecciones,neutro,"El presidente de Bolivia, Luis Arce, llamó este jueves a las distintas organizaciones, movimientos, frentes y partidos de izquierda de ese país suramericano a sentarse a dialogar para conformar, ""ent… [+2826 chars]"
La policía registra la sede del partido ultra de Marine Le Pen en Francia por financiación irregular,Eldiario.es,https://www.eldiario.es/internacional/policia-registra-sede-partido-ultra-marine-le-pen-francia_1_12450366.html,neutro,El presidente de Agrupación Nacional (RN) y eurodiputado Jordan Bardella ha confirmado este miércoles en la red social X que la policía está registrando la sede del partido ultraderechista encabezado… [+1445 chars]
¿Qué partidos hay en EE.UU. y cuánto peso tienen?,RT,https://actualidad.rt.com/a-fondo/557080-partidos-eeuu-peso,neutro,"A principios de julio, el multimillonario Elon Musk anunció la creación del Partido América, expresando su intención de ""romper el sistema unipartidista"". Aunque el sistema político estadounidense h… [+5361 chars]"
Por primera vez en Chile una candidata comunista representará a la centroizquierda en las elecciones presidenciales,Www.abc.es,https://www.abc.es/internacional/primera-vez-chile-candidata-comunista-representara-centroizquierda-20250630031140-nt.html,neutro,"Con una diferencia abrumadora, pero sin que resultara sorpresivo, la candidata comunista Jeannette Jara se impuso en las primarias presidenciales del oficialismo, coalición que representará en noviem… [+6517 chars]"
"Jeannette Jara, exministra de Boric, será la candidata de la izquierda en las elecciones presidenciales de Chile",Huffingtonpost.es,https://www.huffingtonpost.es/global/jeannette-jara-exministra-borica-candidata-izquierda-elecciones-presidenciales-chilebr.html,neutro,"La comunista Jeannette Jara, exministra de Trabajo del Gobierno de Gabriel Boric, ganó este domingo las primarias progresistas en Chile y se convirtió en la candidata de la izquierda para las eleccio… [+7752 chars]"
Chile define las fichas claves para las próximas presidenciales,RT,https://actualidad.rt.com/actualidad/553565-chile-define-fichas-claves-proximas-presidenciales,neutro,"Cuatro dirigentes políticos se disputarán este domingo la candidatura presidencial de la coalición oficialista Unidad por Chile, con miras a las elecciones generales del 16 de noviembre en las que la… [+5119 chars]"
Protestas masivas opositoras paralizan la capital de Serbia (VIDEOS),RT,https://actualidad.rt.com/actualidad/556053-protestas-masivas-opositoras-paralizan-capital-serbia,neutro,"Miles de personas se congregaron este sábado en Belgrado, la capital de Serbia, para exigir la disolución del Parlamento y la convocatoria de elecciones presidenciales y parlamentarias anticipadas, p… [+1743 chars]"
El gobierno de Trump despide a la fiscal del caso Epstein,BBC News,https://www.bbc.com/mundo/articles/c873n82vz03o,neutro,"Fuente de la imagen, Reuters Pie de foto, Maurene Comey era fiscal del Distrito Sur de Nueva York desde 2015. Información del artículo<ul><li><ul><li>Autor, Kwasi Gyamfi Asiedu</li><li>Título del a… [+4637 chars]"
Elon Musk funda su propio partido político tras la bronca con Trump por eliminar las ayudas a Tesla,Andro4all.com,https://andro4all.com/tecnologia/elon-musk-funda-su-propio-partido-politico-tras-la-bronca-con-trump-por-eliminar-las-ayudas-a-tesla,neutro,"Musk había abandonado su cargo gubernamental tras chocar con la administración por la eliminación de ayudas federales al sector del automóvil eléctrico Elon Musk, consejero delegado de Tesla y Space… [+3993 chars]"
"Izquierda con rostro, derecha imparable: Chile en la encrucijada presidencial",RT,https://actualidad.rt.com/actualidad/556161-oficialismo-desventaja-presidenciales-chile,neutro,"La candidata presidencial de la coalición oficialista Unidad por Chile, Jeannette Jara, enfrentará el desafío de modificar el panorama que anticipan las encuestas. Por ahora, los sondeos muestran que… [+3464 chars]"
Este político sería el ganador de las presidenciales de 2028 en EE.UU.,RT,https://actualidad.rt.com/actualidad/558316-politico-ser-ganador-presidenciales-2028-eeuu,neutro,"El vicepresidente estadounidense, J. D. Vance, es el político que más posibilidades tiene de ganar las presidenciales de 2028, según la plataforma de predicciones Polymarket. El político republicano… [+1054 chars]"
"Arce a RT sobre las elecciones en Bolivia: La derecha quiere ""entregar al imperialismo nuestros recursos naturales""",RT,https://actualidad.rt.com/actualidad/556872-arce-rt-elecciones-bolivia-derecha-imperialismo,neutro,"Con la vista puesta en las próximas elecciones presidenciales de Bolivia, previstas para el 17 de agosto, el mandatario boliviano, Luis Arce, denunció en una entrevista a RT que el objetivo final de … [+348 chars]"
"Hijo de Trump pide a la CIA seguir desenmascarando las ""mentiras"" sobre el 'Russiagate'",RT,https://actualidad.rt.com/actualidad/556488-hijo-trump-pedir-cia-exponer-mentiras-russiagate,neutro,"El hijo mayor del presidente estadounidense, Donald Trump Jr., pidió al director de la Agencia Central de Inteligencia de EE.UU. (CIA), John Ratcliffe, que siga desentrañando las mentiras sobre una s… [+2536 chars]"
"""Es hora de elegir"": Diputado perseguido llama a los ucranianos a pensar en su futuro sin Zelenski",RT,https://actualidad.rt.com/actualidad/556242-elegir-diputado-perseguido-ucranianos-zelenski,neutro,"El líder del régimen de Kiev, Vladímir Zelenski, ha llevado al país a un desastre, escondiéndose además tras las espaldas del pueblo, y por eso hay que sustituirlo, declaró el diputado de la Rada Sup… [+2450 chars]"
"La CIA destapa ""anomalías"" en el informe sobre la 'injerencia rusa' en las elecciones de 2016",RT,https://actualidad.rt.com/actualidad/556461-cia-denuncia-irregularidades-elaboracion-informe,neutro,"La Agencia Central de Inteligencia de EE.UU. (CIA) ha detectado ""numerosas anomalías"" en la elaboración de un informe del año 2016 sobre la supuesta injerencia rusa en las elecciones presidenciales d… [+3708 chars]"
Jeannette Jara triunfa en las primarias del oficialismo en Chile con amplio margen,RT,https://actualidad.rt.com/actualidad/556116-jeannette-jara-triunfa-primarias-chile,neutro,"La candidata Jeannette Jara se impuso este domingo en las elecciones primarias del oficialismo chileno tras conseguir el 60,48% de los votos con el 93,73 % de mesas escrutadas De esta manera, Jara, … [+1728 chars]"
"Trump a una periodista: ""La amo, ¿quién es usted?""",RT,https://actualidad.rt.com/actualidad/555970-trump-periodista-amo-quien-es,neutro,"El presidente de EE.UU., Donald Trump, halagó a una periodista por una pregunta que le hizo durante una conferencia de prensa este viernes en la Casa Blanca. La corresponsal del medio LindellTV le p… [+1006 chars]"
Liberado el disidente bielorruso Sergei Tijanovski con previa mediación de EEUU y después de cinco años encarcelado,Huffingtonpost.es,https://www.huffingtonpost.es/sociedad/liberado-disidente-bielorruso-sergei-tijanovski-previa-mediacion-eeuu-cinconos-encarcelado.html,neutro,"El destacado opositor bielorruso Sergei Tijanovski ha sido puesto en libertad tras pasarse más de cinco años en la cárcel, según ha anunciado este sábado su mujer y gran exponente de la oposición, Sv… [+729 chars]"
"Viktor Orbán, el líder fuerte que inspiró a Trump y que ahora ve cómo su poder en Hungría se desmorona",BBC News,https://www.bbc.com/mundo/articles/c4g87g7y270o,neutro,"Fuente de la imagen, Anna Moneymaker/ Leon Neal/ Pierre Crom vía Getty Pie de foto, Orbán, primer ministro de Hungría, ha estado en el poder por 19 de los 35 años que han transcurrido desde la caída… [+14581 chars]"
